id;created_by;created_on;updated_by;updated_on;deleted_by;deleted_on;description;tag_type_id
1;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Instituno;1
2;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Tuno;1
3;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Carrega;1
4;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Presidencia;2
5;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Magisterio;2
6;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Relações Publicas;2
7;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Tesoureiro;2
8;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Alto;3
9;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Medio;3
10;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Baixo;3
11;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Guitarra;4
12;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Bandolim;4
13;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Cavaquinho;4
14;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Contra-baixo;4
15;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Violino;4
16;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Violoncelo;4
17;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Pandeireta;4
18;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Bombo;4
19;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Acordeão;4
20;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Estandarte;4
21;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Nenhum;5
22;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Asmático;5
23;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Diabético;5
24;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Nenhum;6
25;1;2023-07-25T09:56:03;1;2023-07-25T09:56:03;null;null;Intolerante Lactose;6
